RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,3PR,3PRD,WAB,SEED
1,Kansas,B12,28,14,132.3,86.5,0.9846,52.8,52.0,16.1,18.5,26.0,24.6,37.3,36.1,53.2,52.8,43.5,24.2,66.5,35.45872952196744,27.357469160775164,-0.7,3.0
2,SMU,Amer,36,15,130.1,91.5,0.971,53.4,50.5,13.7,17.6,24.5,39.1,41.2,34.9,47.7,43.0,43.3,37.2,70.6,35.45872952196744,27.357469160775164,-4.5,3.0
3,Auburn,SEC,34,10,134.1,96.8,0.9675,52.2,56.2,13.4,8.2,33.0,31.6,24.1,27.9,49.7,42.3,42.6,30.7,82.3,35.45872952196744,27.357469160775164,-5.9,9.0
4,Texas,B12,36,11,130.1,94.2,0.963,47.0,47.2,14.2,27.6,29.6,41.4,29.3,26.0,55.2,50.1,36.1,23.7,65.2,35.45872952196744,27.357469160775164,-7.4,1.0
5,Arizona,P12,29,23,141.9,106.5,0.9613,51.3,41.7,15.8,21.6,25.6,27.3,31.7,20.0,47.2,49.1,20.9,36.8,52.5,35.45872952196744,27.357469160775164,9.8,1.0
6,Saint Louis,A10,35,27,122.4,89.5,0.9521,45.2,45.9,15.8,19.3,32.1,21.5,38.7,45.8,43.7,37.6,39.0,28.8,60.7,35.45872952196744,27.357469160775164,8.2,5.0
7,Kentucky,SEC,31,24,114.8,84.6,0.9398,52.4,50.1,17.4,12.0,38.4,34.6,34.6,28.3,37.6,41.4,30.7,41.3,67.4,35.45872952196744,27.357469160775164,9.4,4.0
8,TCU,B12,31,24,118.3,93.4,0.9063,48.5,46.2,14.9,13.6,29.9,28.0,35.2,21.6,50.0,48.3,34.6,37.9,60.6,35.45872952196744,27.357469160775164,9.8,10.0
9,Iowa,B10,34,18,115.6,90.7,0.9058,49.3,52.6,15.0,23.9,23.2,32.1,53.0,22.7,46.9,54.9,31.9,37.3,77.5,35.45872952196744,27.357469160775164,-0.7,
10,Gonzaga,WCC,36,17,126.0,101.4,0.9036,54.5,48.9,23.3,20.6,19.9,14.5,35.1,25.2,53.1,43.6,36.1,26.8,72.4,35.45872952196744,27.357469160775164,-4.1,4.0
11,Davidson,A10,37,30,112.1,88.4,0.8965,51.8,46.8,14.2,24.3,32.7,27.2,53.4,28.2,58.7,56.2,28.5,34.5,83.4,35.45872952196744,27.357469160775164,11.3,13.0
12,Nevada,MWC,38,24,122.1,99.2,0.8895,49.9,46.9,15.5,6.2,22.4,33.5,50.2,26.7,62.6,52.2,28.6,25.9,52.5,35.45872952196744,27.357469160775164,4.7,12.0
13,Houston,Amer,35,28,110.3,87.7,0.8863,47.9,48.4,11.2,18.0,20.0,38.3,46.8,30.1,52.0,39.8,38.7,30.6,74.6,35.45872952196744,27.357469160775164,11.6,11.0
14,Virginia,ACC,33,10,113.9,91.8,0.8825,45.9,50.7,18.8,17.6,38.0,24.4,41.4,31.4,47.9,44.2,23.4,35.0,76.8,35.45872952196744,27.357469160775164,-6.2,1.0
15,Morehead State,OVC,36,23,119.1,98.2,0.87,45.7,34.1,19.0,21.4,38.3,23.3,32.7,24.9,47.9,57.3,33.1,38.9,62.4,35.45872952196744,27.357469160775164,3.2,1.0
16,Villanova,BE,36,26,110.6,90.0,0.8668,47.6,51.7,13.2,16.3,29.6,20.2,35.4,31.6,56.9,52.1,34.6,37.9,71.7,35.45872952196744,27.357469160775164,10.0,13.0
17,UCLA,P12,35,17,103.6,83.4,0.8621,49.0,47.8,12.7,18.7,20.5,28.1,37.7,42.1,51.5,57.0,38.9,35.7,58.8,35.45872952196744,27.357469160775164,-2.6,6.0
18,Arkansas,SEC,38,18,112.6,92.7,0.8587,51.8,48.4,12.2,18.4,30.5,37.2,33.7,30.3,49.1,46.3,47.4,17.0,66.2,35.45872952196744,27.357469160775164,0.7,1.0
19,Xavier,BE,31,14,118.0,98.9,0.8504,44.1,46.2,20.1,21.2,27.9,28.1,26.6,33.3,48.1,42.3,35.0,28.5,70.2,35.45872952196744,27.357469160775164,-3.7,
20,Oklahoma,B12,37,20,116.3,98.2,0.8386,48.1,50.9,19.5,10.2,17.6,28.9,28.8,26.8,50.7,43.7,39.8,43.1,64.5,35.45872952196744,27.357469160775164,0.9,
21,Wisconsin,B10,30,24,113.1,95.1,0.8363,49.1,55.4,12.2,18.1,31.2,24.7,33.9,30.5,56.2,43.1,40.1,22.5,64.8,35.45872952196744,27.357469160775164,6.9,
22,Belmont,OVC,34,11,130.0,112.3,0.8334,54.4,51.0,14.0,16.4,27.9,29.1,38.2,28.0,41.1,51.3,45.3,24.9,80.4,35.45872952196744,27.357469160775164,-3.3,
