RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,3PR,3PRD,WAB,SEED
1,TCU,B12,33,24,139.5,79.7,0.9957,52.6,38.7,21.9,13.6,29.6,20.5,35.2,24.1,47.9,41.3,38.9,31.2,60.9,36.82435262031312,41.20246460993449,5.9,5.0
2,Marquette,BE,36,12,129.3,74.1,0.9934,53.1,52.7,10.8,13.4,40.2,17.5,44.9,34.1,46.8,52.4,40.7,27.6,75.0,36.82435262031312,41.20246460993449,-3.8,3.0
3,Michigan State,B10,31,22,130.5,76.9,0.9924,59.3,46.6,10.0,19.2,25.8,31.1,43.8,27.7,52.8,48.1,26.2,29.6,67.8,36.82435262031312,41.20246460993449,6.8,3.0
4,San Diego State,MWC,34,33,123.3,80.6,0.9798,46.4,44.3,16.0,14.1,31.9,31.4,39.1,39.7,59.0,43.0,29.0,33.1,73.3,36.82435262031312,41.20246460993449,13.6,1.0
5,Auburn,SEC,33,19,116.5,76.0,0.9754,57.0,49.6,14.9,17.0,27.0,29.5,30.3,32.0,58.4,42.3,30.9,43.0,56.8,36.82435262031312,41.20246460993449,2.3,
6,Michigan,B10,32,20,114.7,77.1,0.9683,50.9,37.8,20.3,16.8,34.3,28.7,22.6,27.5,54.0,46.3,40.0,42.0,46.9,36.82435262031312,41.20246460993449,3.4,
7,Wisconsin,B10,37,35,127.5,91.4,0.9637,45.6,54.7,13.0,17.4,31.0,24.0,43.6,32.4,55.2,55.4,31.2,35.1,72.3,36.82435262031312,41.20246460993449,18.9,1.0
8,Colorado State,MWC,35,16,121.2,85.2,0.9633,45.5,45.0,15.1,12.7,22.5,34.0,41.9,30.3,57.6,45.6,32.2,33.9,76.8,36.82435262031312,41.20246460993449,-2.1,
9,Wake Forest,ACC,35,34,125.9,91.6,0.9577,52.9,51.0,21.5,12.4,31.7,30.3,32.7,30.7,54.7,40.6,33.3,31.1,64.7,36.82435262031312,41.20246460993449,19.0,
10,North Carolina,ACC,33,22,121.3,89.4,0.948,54.8,42.7,6.3,22.4,19.6,22.2,36.8,26.8,54.8,40.5,30.5,31.9,79.0,36.82435262031312,41.20246460993449,7.4,
11,Kansas,B12,34,31,109.6,77.8,0.9476,48.6,47.4,19.2,15.5,30.1,33.9,36.1,27.0,47.2,53.1,36.1,32.7,70.5,36.82435262031312,41.20246460993449,16.4,
12,Creighton,BE,39,14,117.9,88.4,0.9358,52.2,48.3,20.8,13.4,38.6,27.4,36.8,31.2,61.2,42.5,38.7,31.1,72.4,36.82435262031312,41.20246460993449,-5.8,2.0
13,Gonzaga,WCC,34,30,109.3,80.5,0.9324,44.0,43.5,16.3,12.8,31.9,40.7,29.3,31.2,48.2,43.5,31.6,14.5,55.4,36.82435262031312,41.20246460993449,16.0,1.0
14,Arkansas,SEC,31,28,120.4,94.1,0.9166,55.4,41.4,12.6,18.8,31.9,29.5,26.5,35.3,52.9,46.0,33.9,32.8,63.9,36.82435262031312,41.20246460993449,11.5,
15,Houston,Amer,29,13,120.1,93.9,0.9155,41.5,48.7,11.9,15.6,31.1,28.1,30.4,28.5,65.7,45.8,34.3,41.3,70.0,36.82435262031312,41.20246460993449,-0.0,
16,BYU,WCC,33,12,111.5,87.0,0.9023,50.3,51.8,18.4,17.9,29.6,30.8,26.3,34.7,51.4,43.8,45.3,39.3,79.8,36.82435262031312,41.20246460993449,-1.1,9.0
17,VCU,A10,31,19,113.0,89.6,0.894,52.0,39.2,12.7,16.6,33.8,26.9,31.5,28.2,58.3,45.0,37.3,25.4,67.7,36.82435262031312,41.20246460993449,2.7,1.0
18,Murray State,OVC,39,38,119.3,95.9,0.8934,54.1,46.3,16.3,23.4,29.3,34.1,16.5,28.3,48.0,40.3,27.7,31.8,72.2,36.82435262031312,41.20246460993449,20.6,12.0
19,Iowa State,B12,34,22,128.6,105.7,0.8891,42.8,44.4,19.3,16.6,36.0,28.8,40.4,20.9,49.8,47.2,25.8,23.9,72.0,36.82435262031312,41.20246460993449,6.8,3.0
20,Baylor,B12,31,30,135.0,112.8,0.8831,54.5,50.6,15.6,11.9,27.5,35.2,30.0,30.9,47.5,49.4,50.8,33.2,58.3,36.82435262031312,41.20246460993449,18.0,
21,Oklahoma,B12,30,18,115.0,93.6,0.8749,45.9,52.4,20.2,17.0,39.0,31.9,35.9,32.5,55.2,43.7,28.1,29.4,63.9,36.82435262031312,41.20246460993449,-0.9,4.0
22,Iowa,B10,28,24,125.2,104.5,0.8684,41.9,51.9,13.4,15.0,33.9,27.0,19.3,32.7,38.5,42.8,26.6,31.1,75.7,36.82435262031312,41.20246460993449,11.3,4.0
23,Stanford,P12,28,27,122.8,102.2,0.8669,53.4,43.0,22.8,16.6,30.6,27.0,38.8,39.5,50.1,40.4,40.0,32.1,76.3,36.82435262031312,41.20246460993449,14.0,3.0
24,Memphis,Amer,30,10,117.6,97.5,0.8611,51.1,56.3,18.4,19.7,26.6,23.5,36.4,28.3,40.9,46.1,40.4,33.6,57.1,36.82435262031312,41.20246460993449,-7.5,16.0
25,Ohio State,B10,36,28,130.3,110.3,0.8603,51.2,47.3,20.2,19.6,34.4,23.2,41.3,33.9,49.7,48.4,52.8,24.8,79.8,36.82435262031312,41.20246460993449,7.5,8.0
26,Oregon,P12,38,11,118.8,99.6,0.8517,49.1,44.2,18.8,15.2,30.8,22.5,40.1,28.2,55.6,51.1,35.2,33.7,77.7,36.82435262031312,41.20246460993449,-6.1,2.0
27,Nevada,MWC,33,30,112.1,92.9,0.8509,52.4,48.0,16.3,25.8,36.4,33.9,45.1,24.1,48.8,45.6,33.7,31.7,71.5,36.82435262031312,41.20246460993449,17.1,
28,Purdue,B10,38,16,115.2,96.3,0.8488,55.0,50.9,16.7,10.7,32.9,34.7,28.4,23.2,43.4,43.2,33.9,29.6,69.0,36.82435262031312,41.20246460993449,-3.4,
29,Illinois,B10,38,18,97.8,79.9,0.8364,54.5,47.5,16.2,20.2,35.6,24.4,24.0,33.1,59.1,44.6,38.7,25.9,67.8,36.82435262031312,41.20246460993449,-1.2,
30,Syracuse,ACC,38,31,116.1,100.4,0.8057,62.5,50.2,12.6,13.7,30.7,31.0,44.4,21.5,64.0,42.6,36.8,37.8,67.9,36.82435262031312,41.20246460993449,12.9,
31,LSU,SEC,36,23,105.8,90.5,0.8019,45.8,47.8,15.1,16.3,36.9,30.2,47.8,26.8,53.3,41.3,31.4,28.3,70.3,36.82435262031312,41.20246460993449,4.7,
32,Saint Louis,A10,33,20,101.2,88.9,0.7542,53.4,52.6,14.1,17.6,29.0,23.7,54.6,28.1,61.3,50.5,41.4,37.5,61.7,36.82435262031312,41.20246460993449,1.1,
33,Duke,ACC,29,23,106.8,94.6,0.7529,52.9,46.8,18.3,17.7,40.5,28.4,53.1,20.6,54.1,46.6,25.2,30.5,59.5,36.82435262031312,41.20246460993449,10.8,
34,Cincinnati,Amer,36,10,99.7,89.1,0.7241,58.5,52.8,10.1,21.7,26.1,18.7,49.1,30.3,53.4,59.6,38.4,34.1,65.3,36.82435262031312,41.20246460993449,-9.6,
35,Virginia,ACC,31,27,110.6,100.2,0.7197,49.9,43.2,15.9,8.9,22.2,34.1,37.7,37.0,51.1,46.2,36.0,36.1,83.0,36.82435262031312,41.20246460993449,10.1,
36,Alabama,SEC,32,11,105.3,95.0,0.7184,51.4,49.3,20.5,21.5,23.4,23.7,21.5,36.6,50.3,41.6,45.8,41.1,77.7,36.82435262031312,41.20246460993449,-6.7,
37,Dayton,A10,31,28,107.2,98.3,0.6919,54.6,54.1,11.7,19.7,29.5,26.1,34.6,36.3,62.4,36.0,42.4,47.9,63.4,36.82435262031312,41.20246460993449,13.6,
38,Belmont,OVC,30,29,106.5,98.5,0.6751,39.1,46.3,15.6,20.4,39.4,33.7,33.5,32.3,51.4,45.1,38.0,20.3,68.3,36.82435262031312,41.20246460993449,10.7,
39,SMU,Amer,28,27,94.9,87.0,0.6715,47.5,48.8,14.7,16.7,30.3,35.5,37.4,28.4,55.8,49.9,39.8,23.8,70.8,36.82435262031312,41.20246460993449,12.8,
40,West Virginia,B12,30,25,103.7,95.9,0.6698,54.4,50.6,17.3,17.9,25.2,21.7,33.1,22.7,41.9,34.4,48.5,34.5,76.0,36.82435262031312,41.20246460993449,10.2,
41,Davidson,A10,29,28,102.5,95.9,0.6466,52.6,46.5,17.2,25.1,20.7,24.9,20.5,19.5,49.5,46.0,29.9,35.2,63.1,36.82435262031312,41.20246460993449,12.6,
42,Saint Mary's,WCC,32,19,113.2,106.6,0.6454,47.9,44.9,12.4,22.7,48.6,32.9,23.5,35.7,49.8,43.1,29.6,31.4,60.5,36.82435262031312,41.20246460993449,3.9,
43,Arizona,P12,36,32,96.0,90.7,0.6175,50.0,50.6,16.8,18.4,27.1,29.5,21.2,28.4,51.2,46.3,29.0,44.0,59.9,36.82435262031312,41.20246460993449,13.1,
44,Kentucky,SEC,38,23,98.1,93.9,0.5946,57.4,51.7,16.1,15.8,33.4,25.0,30.1,35.0,42.9,50.6,22.3,39.4,55.5,36.82435262031312,41.20246460993449,2.4,
45,Xavier,BE,35,19,91.6,88.0,0.5801,52.5,48.3,16.4,24.5,36.1,36.1,41.1,31.8,53.9,49.8,40.1,33.6,73.9,36.82435262031312,41.20246460993449,3.7,
46,Florida,SEC,28,21,102.9,99.5,0.5781,50.0,47.3,16.4,20.0,16.0,34.3,42.3,38.0,44.9,55.6,37.1,34.7,61.8,36.82435262031312,41.20246460993449,6.9,
47,Morehead State,OVC,31,30,100.0,98.6,0.5306,50.3,36.3,13.3,16.1,30.7,35.0,41.7,29.5,43.7,50.8,29.0,27.0,68.6,36.82435262031312,41.20246460993449,14.0,
48,Texas,B12,28,15,107.5,106.9,0.5116,50.4,47.8,13.9,13.6,24.9,31.6,34.9,23.2,50.8,43.5,34.2,24.3,76.3,36.82435262031312,41.20246460993449,0.2,
49,Utah State,MWC,38,14,102.2,102.2,0.5007,49.2,47.8,14.8,19.9,43.3,29.1,23.3,23.5,50.6,38.2,31.6,35.6,67.1,36.82435262031312,41.20246460993449,-5.1,
50,Mississippi State,SEC,35,24,86.9,87.3,0.4911,53.6,47.1,16.9,11.8,23.7,27.1,37.6,37.8,55.0,43.0,25.6,34.0,68.6,36.82435262031312,41.20246460993449,5.9,
51,San Francisco,WCC,30,10,99.8,103.1,0.4261,47.3,48.7,16.5,16.7,23.9,35.2,36.5,32.3,58.5,50.5,32.2,22.6,62.5,36.82435262031312,41.20246460993449,-5.9,
52,Tennessee,SEC,29,11,98.9,102.5,0.4199,48.5,51.9,16.3,13.8,29.1,35.9,34.1,25.7,50.9,56.9,31.2,33.4,77.2,36.82435262031312,41.20246460993449,-2.8,
53,UCLA,P12,34,26,105.2,109.7,0.3994,49.2,47.6,13.6,21.4,41.8,21.6,35.3,28.3,47.7,53.2,37.1,37.8,68.3,36.82435262031312,41.20246460993449,8.0,
54,Indiana,B10,33,32,102.6,108.2,0.3748,45.5,49.1,19.2,14.7,26.5,33.9,30.0,25.4,49.3,44.4,24.3,28.8,65.6,36.82435262031312,41.20246460993449,17.1,
55,Villanova,BE,35,30,100.8,107.3,0.3565,51.0,52.4,9.3,13.8,41.9,18.6,48.6,28.7,54.7,46.4,44.1,25.9,51.4,36.82435262031312,41.20246460993449,9.5,
56,Texas Tech,B12,32,15,107.4,114.8,0.3385,45.3,48.0,11.7,13.3,30.4,37.4,43.2,26.7,55.2,57.5,30.2,28.1,72.1,36.82435262031312,41.20246460993449,-3.6,
57,Louisville,ACC,33,21,93.3,100.9,0.3341,55.7,46.0,16.2,23.2,25.4,25.8,35.8,20.1,42.6,50.6,43.0,28.2,61.8,36.82435262031312,41.20246460993449,5.3,
58,Clemson,ACC,36,33,84.8,97.2,0.2442,46.8,42.9,13.2,20.9,32.8,29.4,29.7,21.7,59.4,49.2,41.5,28.0,61.7,36.82435262031312,41.20246460993449,14.0,
59,Miami,ACC,36,16,101.4,115.2,0.2222,50.4,48.1,15.4,18.1,33.5,31.4,32.0,25.6,54.3,60.2,25.8,22.0,69.2,36.82435262031312,41.20246460993449,0.5,
60,Austin Peay,OVC,33,20,100.6,123.4,0.1125,47.9,44.6,14.0,20.5,33.2,24.4,33.0,28.8,41.6,49.2,25.9,30.0,59.8,36.82435262031312,41.20246460993449,3.2,
