RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,3PR,3PRD,WAB,SEED
1,LSU,SEC,32,27,115.7,58.7,0.9944,51.6,53.4,19.4,11.3,31.0,35.2,34.8,41.0,55.3,46.7,22.3,34.7,71.1,42.274325772133835,31.435009925951213,6.0,
2,Purdue,B10,39,36,128.9,73.4,0.9936,47.2,40.8,13.9,14.8,23.4,27.5,38.3,38.2,34.8,55.0,34.1,44.2,58.6,42.274325772133835,31.435009925951213,16.7,5.0
3,Arizona,P12,32,13,118.0,75.9,0.9787,55.1,47.3,15.7,23.3,31.5,24.7,31.5,21.9,41.8,38.2,37.2,32.3,75.3,42.274325772133835,31.435009925951213,-3.0,9.0
4,Texas,B12,37,26,122.8,82.8,0.9743,40.9,50.8,18.4,14.8,25.0,20.5,37.4,26.0,58.3,42.4,34.1,42.1,68.0,42.274325772133835,31.435009925951213,7.8,1.0
5,Utah State,MWC,38,23,135.9,100.2,0.9626,50.3,43.8,15.4,13.5,35.9,33.6,37.0,25.8,52.4,53.3,36.7,45.3,72.6,42.274325772133835,31.435009925951213,4.5,9.0
6,Oklahoma,B12,29,11,120.0,85.4,0.9589,52.8,47.7,22.9,28.3,26.1,29.5,45.6,34.2,52.2,60.3,30.2,28.1,78.2,42.274325772133835,31.435009925951213,-0.3,1.0
7,Duke,ACC,30,19,112.6,78.3,0.9576,51.1,44.5,15.1,16.9,30.5,27.1,43.3,28.6,50.3,51.1,43.4,40.0,81.1,42.274325772133835,31.435009925951213,3.8,6.0
8,Michigan State,B10,28,15,128.4,94.6,0.9554,51.1,49.9,16.7,23.6,35.4,28.5,29.9,23.0,53.5,53.1,49.3,42.5,64.6,42.274325772133835,31.435009925951213,2.4,7.0
9,Marquette,BE,36,12,122.8,89.5,0.9537,46.6,45.5,16.4,12.7,32.9,27.3,35.0,30.0,56.5,52.7,34.9,39.8,79.2,42.274325772133835,31.435009925951213,-2.9,
10,Kentucky,SEC,30,15,113.4,80.7,0.9515,50.0,47.0,22.1,14.8,39.1,28.1,41.3,30.1,46.2,45.2,42.8,33.1,78.8,42.274325772133835,31.435009925951213,-0.4,
11,VCU,A10,31,23,119.4,87.7,0.947,48.4,47.2,12.1,14.8,34.3,29.4,30.1,33.7,39.5,47.8,31.4,35.5,64.9,42.274325772133835,31.435009925951213,8.3,
12,Iowa,B10,31,24,115.9,84.5,0.9453,47.0,50.5,14.2,20.4,39.2,24.8,26.4,39.8,51.6,44.6,34.3,29.9,81.4,42.274325772133835,31.435009925951213,8.9,1.0
13,Colorado State,MWC,36,11,119.5,88.5,0.9436,57.9,49.0,15.8,18.3,35.0,30.9,37.1,28.9,49.8,49.9,39.5,29.2,66.1,42.274325772133835,31.435009925951213,-10.5,1.0
14,Tennessee,SEC,36,18,114.3,83.6,0.9422,55.8,48.4,16.3,14.7,35.6,26.5,20.0,30.4,49.8,45.2,33.4,35.3,67.1,42.274325772133835,31.435009925951213,-1.4,4.0
15,Indiana,B10,36,21,117.0,86.4,0.9418,51.4,55.0,14.2,17.7,22.4,25.2,38.2,22.9,46.4,52.3,17.0,29.8,72.2,42.274325772133835,31.435009925951213,0.3,4.0
16,Virginia,ACC,38,15,126.5,96.9,0.9365,56.5,50.9,15.1,18.7,33.1,24.8,36.6,15.9,51.6,53.3,29.3,49.5,60.0,42.274325772133835,31.435009925951213,-8.1,
17,Nevada,MWC,35,27,112.7,85.5,0.9222,45.0,48.2,13.9,18.1,34.0,17.7,22.2,28.2,49.9,46.0,22.9,30.3,59.1,42.274325772133835,31.435009925951213,10.3,
18,Michigan,B10,38,18,115.8,89.4,0.9169,48.1,46.7,15.6,13.4,33.4,26.3,44.6,22.1,43.7,57.5,38.7,34.6,69.8,42.274325772133835,31.435009925951213,-0.6,1.0
19,North Carolina,ACC,30,29,109.2,82.9,0.9158,54.4,49.9,23.2,16.9,33.5,33.6,32.7,35.4,48.8,39.6,31.9,32.8,68.2,42.274325772133835,31.435009925951213,12.0,2.0
20,West Virginia,B12,34,23,121.5,95.3,0.9155,51.3,49.0,15.9,22.1,34.1,23.8,26.9,32.9,62.7,47.9,16.6,36.7,83.3,42.274325772133835,31.435009925951213,3.8,3.0
21,Texas Tech,B12,36,30,122.2,96.1,0.9148,53.5,56.0,11.8,22.5,25.9,28.3,25.2,25.1,38.5,45.9,34.4,41.7,63.1,42.274325772133835,31.435009925951213,10.2,14.0
22,Miami,ACC,37,20,116.6,92.3,0.9006,48.7,44.9,19.4,23.4,34.2,15.4,48.0,27.7,48.5,49.0,41.9,32.7,75.4,42.274325772133835,31.435009925951213,-2.0,2.0
23,Baylor,B12,34,16,108.2,85.1,0.8911,51.4,40.8,19.2,18.5,45.9,18.1,43.4,31.9,52.7,38.0,31.5,29.6,71.4,42.274325772133835,31.435009925951213,1.3,1.0
24,Oregon,P12,29,22,123.1,100.2,0.8894,52.8,42.5,13.1,25.9,30.6,24.0,37.3,30.9,52.6,51.7,32.1,30.3,57.6,42.274325772133835,31.435009925951213,7.9,
25,Mississippi State,SEC,32,21,114.2,91.4,0.8891,53.8,48.2,12.5,10.9,33.5,22.0,33.7,29.7,49.4,56.6,28.8,27.8,65.2,42.274325772133835,31.435009925951213,4.1,1.0
26,Syracuse,ACC,35,27,113.7,91.1,0.8861,48.5,51.5,23.1,16.8,30.8,35.6,37.0,32.5,51.8,44.8,40.3,41.5,61.0,42.274325772133835,31.435009925951213,12.3,11.0
27,Xavier,BE,37,34,118.5,96.2,0.8836,46.4,54.4,17.7,13.0,30.5,23.3,37.2,29.8,49.9,48.3,37.9,37.3,54.7,42.274325772133835,31.435009925951213,18.3,8.0
28,Illinois,B10,31,15,110.9,88.6,0.8835,44.3,40.4,10.9,12.0,32.0,29.5,20.8,26.4,44.0,47.6,30.4,32.6,60.7,42.274325772133835,31.435009925951213,1.1,
29,Wisconsin,B10,38,28,117.2,95.3,0.8802,45.3,42.0,18.7,20.5,30.4,28.3,33.3,21.5,40.0,48.9,42.5,34.6,67.4,42.274325772133835,31.435009925951213,6.8,3.0
30,Davidson,A10,33,26,115.8,95.1,0.8677,50.9,52.0,14.4,19.7,22.9,38.0,31.1,36.4,53.4,50.2,51.0,34.1,64.6,42.274325772133835,31.435009925951213,11.9,2.0
31,Austin Peay,OVC,34,17,118.7,98.1,0.8661,56.7,48.2,13.8,16.2,30.8,27.4,41.6,31.5,47.4,42.3,36.1,30.4,60.3,42.274325772133835,31.435009925951213,-0.1,1.0
32,BYU,WCC,33,29,115.6,98.1,0.8311,44.6,48.0,16.9,22.5,32.5,22.3,32.0,30.1,59.5,41.3,34.7,17.9,82.3,42.274325772133835,31.435009925951213,10.5,
33,Louisville,ACC,33,21,108.2,93.0,0.8003,54.1,40.8,21.0,15.3,29.0,27.6,30.0,24.3,58.6,44.7,40.9,24.3,63.2,42.274325772133835,31.435009925951213,4.0,
34,Houston,Amer,38,37,114.3,99.9,0.7868,42.2,50.7,14.7,24.4,31.2,28.9,41.5,49.9,51.9,40.6,37.1,34.0,53.5,42.274325772133835,31.435009925951213,18.5,
35,San Diego State,MWC,37,18,97.3,83.2,0.7825,50.6,39.4,16.1,22.4,35.3,29.7,34.1,29.8,38.2,46.3,41.3,21.2,74.9,42.274325772133835,31.435009925951213,-1.8,
36,Saint Louis,A10,32,26,111.8,98.2,0.7756,49.2,52.2,14.9,11.4,32.2,26.8,37.8,31.4,54.9,41.3,49.7,37.2,75.4,42.274325772133835,31.435009925951213,11.1,
37,Saint Mary's,WCC,36,18,100.1,86.6,0.773,55.5,41.2,21.3,22.6,25.6,23.8,37.4,38.9,48.6,45.4,28.0,36.9,72.0,42.274325772133835,31.435009925951213,2.8,
38,Gonzaga,WCC,30,23,116.9,103.5,0.7718,48.1,51.5,11.9,18.9,29.6,25.8,33.1,27.0,43.4,44.6,32.5,31.1,64.6,42.274325772133835,31.435009925951213,6.6,
39,Iowa State,B12,36,16,106.6,94.5,0.7517,44.4,49.3,10.9,20.2,29.9,24.1,33.5,40.0,50.3,56.1,26.0,32.6,78.0,42.274325772133835,31.435009925951213,-2.0,
40,Kansas,B12,30,19,112.4,100.6,0.7447,52.0,47.0,17.1,20.9,42.7,34.0,26.0,21.7,47.6,54.0,36.0,32.5,70.5,42.274325772133835,31.435009925951213,4.1,
41,Wake Forest,ACC,29,21,105.6,94.1,0.7404,49.0,43.2,16.3,15.0,34.9,27.4,18.1,25.7,58.5,54.1,41.6,35.1,80.5,42.274325772133835,31.435009925951213,4.8,
42,UCLA,P12,30,25,107.8,98.9,0.6933,48.4,54.4,15.3,20.5,36.2,21.5,29.2,30.8,54.2,46.9,40.5,26.4,72.0,42.274325772133835,31.435009925951213,6.9,
43,Villanova,BE,39,38,117.6,108.8,0.6897,44.3,46.1,12.1,25.7,45.1,19.0,34.1,25.3,56.7,48.2,31.2,31.7,76.7,42.274325772133835,31.435009925951213,16.6,
44,Cincinnati,Amer,28,10,111.2,102.9,0.6797,49.9,44.9,13.4,17.9,28.2,27.7,38.1,26.4,50.0,49.9,38.0,28.1,64.8,42.274325772133835,31.435009925951213,-1.6,
45,Morehead State,OVC,34,15,100.3,92.4,0.6729,48.9,49.1,14.1,16.4,25.2,36.0,40.3,31.2,41.7,50.7,35.8,40.0,67.6,42.274325772133835,31.435009925951213,-0.4,
46,Auburn,SEC,37,29,98.2,91.2,0.6539,45.0,46.2,16.9,21.1,40.5,32.3,33.0,21.0,43.9,43.9,36.1,32.8,69.4,42.274325772133835,31.435009925951213,11.8,
47,Florida,SEC,29,15,95.3,92.3,0.5688,57.0,50.5,16.8,16.0,28.4,26.3,51.4,38.2,52.7,43.2,34.9,39.3,76.9,42.274325772133835,31.435009925951213,1.4,
48,San Francisco,WCC,31,14,109.5,108.8,0.5156,56.5,48.1,16.3,19.9,32.1,25.1,41.0,33.2,65.0,48.5,36.7,28.9,64.0,42.274325772133835,31.435009925951213,-0.6,
49,Clemson,ACC,28,22,106.9,106.8,0.502,59.5,53.4,14.9,21.4,31.9,31.3,31.6,27.3,54.8,54.2,30.9,37.4,74.5,42.274325772133835,31.435009925951213,6.9,
50,Ohio State,B10,33,27,110.6,111.5,0.4804,47.7,47.5,10.5,19.8,32.1,35.5,42.5,42.8,50.0,52.4,23.5,39.9,49.2,42.274325772133835,31.435009925951213,7.0,
51,Memphis,Amer,35,30,91.9,92.9,0.4759,53.6,49.9,12.4,18.5,35.8,36.3,10.9,21.0,49.0,57.9,37.4,39.1,61.8,42.274325772133835,31.435009925951213,11.5,
